0, 0, Header, 1, 12, 480
# Instrument Number for Track 1: 1
1, 0, Start_track
1, 0, Time_signature, 4, 2, 24, 8
1, 0, Key_signature, 0, "major"
1, 0, SMPTE_offset, 33, 0, 0, 0, 0
1, 0, Tempo, 461538
1, 1920, Marker_t, "intro"
1, 9600, Marker_t, "a"
1, 24960, Marker_t, "b"
1, 40320, Marker_t, "c"
1, 55680, Marker_t, "interude"
1, 71040, Marker_t, "2a"
1, 86400, Marker_t, "2b"
1, 101760, Marker_t, "c"
1, 117120, Marker_t, "d"
1, 132480, Marker_t, "c"
1, 147840, Marker_t, "outro"
1, 328320, End_track
# Instrument Number for Track 2: 2
2, 0, Start_track
2, 5760, Channel_prefix, 0
2, 5760, Title_t, "Boutique 808"
# Instrument Name for Track 2: Boutique 808
# Instrument Number for Track 2: 2
2, 5760, Instrument_name_t, "Boutique 808"
2, 5760, Note_on_c, 0, 36, 87
2, 5911, Note_off_c, 0, 36, 64
2, 6480, Note_on_c, 0, 36, 87
2, 6604, Note_off_c, 0, 36, 64
2, 7200, Note_on_c, 0, 36, 84
2, 7338, Note_off_c, 0, 36, 64
2, 7680, Note_on_c, 0, 36, 87
2, 7831, Note_off_c, 0, 36, 64
2, 8400, Note_on_c, 0, 36, 87
2, 8524, Note_off_c, 0, 36, 64
2, 9120, Note_on_c, 0, 36, 84
2, 9258, Note_off_c, 0, 36, 64
2, 9360, Note_on_c, 0, 39, 84
2, 9498, Note_off_c, 0, 39, 64
2, 9600, Note_on_c, 0, 36, 87
2, 9751, Note_off_c, 0, 36, 64
2, 10320, Note_on_c, 0, 36, 87
2, 10444, Note_off_c, 0, 36, 64
2, 11040, Note_on_c, 0, 36, 84
2, 11178, Note_off_c, 0, 36, 64
2, 11520, Note_on_c, 0, 36, 87
2, 11671, Note_off_c, 0, 36, 64
2, 12240, Note_on_c, 0, 36, 87
2, 12364, Note_off_c, 0, 36, 64
2, 12960, Note_on_c, 0, 36, 84
2, 13098, Note_off_c, 0, 36, 64
2, 13200, Note_on_c, 0, 39, 84
2, 13338, Note_off_c, 0, 39, 64
2, 13440, Note_on_c, 0, 36, 87
2, 13591, Note_off_c, 0, 36, 64
2, 14160, Note_on_c, 0, 36, 87
2, 14284, Note_off_c, 0, 36, 64
2, 14880, Note_on_c, 0, 36, 84
2, 15018, Note_off_c, 0, 36, 64
2, 15360, Note_on_c, 0, 36, 87
2, 15511, Note_off_c, 0, 36, 64
2, 16080, Note_on_c, 0, 36, 87
2, 16204, Note_off_c, 0, 36, 64
2, 16800, Note_on_c, 0, 36, 84
2, 16938, Note_off_c, 0, 36, 64
2, 17040, Note_on_c, 0, 39, 84
2, 17178, Note_off_c, 0, 39, 64
2, 17280, Note_on_c, 0, 36, 87
2, 17431, Note_off_c, 0, 36, 64
2, 18000, Note_on_c, 0, 36, 87
2, 18124, Note_off_c, 0, 36, 64
2, 18720, Note_on_c, 0, 36, 84
2, 18858, Note_off_c, 0, 36, 64
2, 19200, Note_on_c, 0, 36, 87
2, 19351, Note_off_c, 0, 36, 64
2, 19920, Note_on_c, 0, 36, 87
2, 20044, Note_off_c, 0, 36, 64
2, 20640, Note_on_c, 0, 36, 84
2, 20778, Note_off_c, 0, 36, 64
2, 20880, Note_on_c, 0, 39, 84
2, 21018, Note_off_c, 0, 39, 64
2, 21120, Note_on_c, 0, 36, 87
2, 21271, Note_off_c, 0, 36, 64
2, 21840, Note_on_c, 0, 36, 87
2, 21964, Note_off_c, 0, 36, 64
2, 22560, Note_on_c, 0, 36, 84
2, 22698, Note_off_c, 0, 36, 64
2, 23040, Note_on_c, 0, 36, 87
2, 23191, Note_off_c, 0, 36, 64
2, 23760, Note_on_c, 0, 36, 87
2, 23884, Note_off_c, 0, 36, 64
2, 24240, Note_on_c, 0, 38, 84
2, 24378, Note_off_c, 0, 38, 64
2, 24480, Note_on_c, 0, 36, 84
2, 24618, Note_off_c, 0, 36, 64
2, 24720, Note_on_c, 0, 39, 84
2, 24858, Note_off_c, 0, 39, 64
2, 24960, Note_on_c, 0, 36, 87
2, 25111, Note_off_c, 0, 36, 64
2, 25920, Note_on_c, 0, 39, 84
2, 25920, Note_off_c, 0, 39, 64
2, 26400, Note_on_c, 0, 36, 84
2, 26538, Note_off_c, 0, 36, 64
2, 26880, Note_on_c, 0, 36, 87
2, 27031, Note_off_c, 0, 36, 64
2, 27840, Note_on_c, 0, 39, 84
2, 27840, Note_off_c, 0, 39, 64
